name,aliases,place,wikidata,coordinates,region,ru_group,usage
novoiehorivka,novoiehorivka;novoiehorovka;новоегоровка;новоєгорівка,village,Q4323917,"[37.9649612, 49.8407411]",kharkiv oblast,sever group of forces,0
novopokrovka,novo pokrovka;novopokrovka;новопокровка,town,Q4324986,"[36.5549759, 49.8377053]",kharkiv oblast,sever group of forces,0
tavilzhanka,tavilzhanka;таволжанка;тавільжанка,village,Q4449423,"[37.775799, 49.838791]",kharkiv oblast,sever group of forces,0
horobivka,horobivka;horobovka;гороб'ївка;горобьевка;горобївка,village,Q4144790,"[37.733013, 49.836571]",kharkiv oblast,sever group of forces,0
tsarivka,tsarivka;tsarovka;царевка;царёвка;царівка,village,Q4503328,"[38.4417788, 49.8350013]",luhansk oblast,zapad group of forces,0
rozpasiivka,rozpasiivka;rozpasiovka;распасеевка;розпасіївка,village,Q4390225,"[38.38554, 49.831703]",luhansk oblast,zapad group of forces,0
vysoke,vysoke;vysokoe;vysokoye;високе;высокое,hamlet,Q4129424,"[38.249638, 49.837261]",luhansk oblast,zapad group of forces,0
kluhyno bashkyrivka,kluhyno bashkyrivka;kluhyno bashkyrovka;клугино башкировка;клугино башкирівка;клугино-башкировка;клугино-башкирівка,village,Q4224236,"[36.7186218, 49.8445103]",kharkiv oblast,sever group of forces,0
vasyliv khutir,sotszmahannia;vasyliv khutir;василів хутір;соцзмагання,village,Q4430177,"[36.6066201, 49.8352406]",kharkiv oblast,sever group of forces,0
vasyshcheve,vasyshcheve;васищеве;васищево;дмитрівське,town,Q4105050,"[36.3312164, 49.835365]",kharkiv oblast,sever group of forces,0
duvanka,duvanka;дуванка,village,Q4169992,"[38.669128, 49.834332]",luhansk oblast,zapad group of forces,0
mykhailivka,mikhailovka;mikhaylovka;mykhailivka;mykhailovka;mykhaylivka;mykhaylovka;михайловка;михайлівка,village,Q4297581,"[37.2689433, 49.8344397]",kharkiv oblast,sever group of forces,0
doroshivka,doroshivka;doroshovka;дорошовка;дорошівка,village,Q4167080,"[37.5655428, 49.8300029]",kharkiv oblast,sever group of forces,0
bazaliivka,bazaliivka;bazaliovka;базалеевка;базалиевка;базаліївка,village,Q4075153,"[36.990794, 49.8304369]",kharkiv oblast,sever group of forces,0
monachynivka,monachinovka;monachynivka;monachynovka;моначиновка;моначинівка,village,Q4301598,"[37.5255776, 49.8211293]",kharkiv oblast,sever group of forces,0
mykolaivka,mykolaevka;mykolaivka;mykolayivka;nikolaevka;nikolayevka;миколаївка;николаевка,village,Q4320288,"[35.4521119, 49.8263414]",kharkiv oblast,sever group of forces,0
podolokh,podolokh;подолех;подольох,village,Q4367997,"[36.3614522, 49.8309161]",kharkiv oblast,sever group of forces,0
